Players,Team,Type,Base,Sold
Yash Dayal,RCB,BOWL,-,5.00
Jasprit Bumrah,MI,BOWL,-,18.00
Matheesha Pathirana,CSK,BOWL,-,13.00
Kuldeep Yadav,DC,BOWL,-,13.25
Sunil Narine,KKR,BOWL,-,12.00
Harshit Rana,KKR,BOWL,-,4.00
Sandeep Sharma,RR,BOWL,-,4.00
Rashid Khan,GT,BOWL,-,18.00
Ravi Bishnoi,LSG,BOWL,-,11.00
Mayank Yadav,LSG,BOWL,-,11.00
Mohsin Khan,LSG,BOWL,-,4.00
Kagiso Rabada,GT,BOWL,2.00,10.75
Arshdeep Singh,PBKS,BOWL,2.00,18.00
Mitchell Starc,DC,BOWL,2.00,11.75
Yuzvendra Chahal,PBKS,BOWL,2.00,18.00
Mohammed Shami,SRH,BOWL,2.00,10.00
Mohammed Siraj,GT,BOWL,2.00,12.25
Khaleel Ahmed,CSK,BOWL,2.00,4.80
Trent Boult,MI,BOWL,2.00,12.50
Josh Hazlewood,RCB,BOWL,2.00,12.50
Avesh Khan,LSG,BOWL,2.00,9.75
Prasidh Krishna,GT,BOWL,2.00,9.50
T Natarajan,DC,BOWL,2.00,10.75
Anrich Nortje,KKR,BOWL,2.00,6.50
Noor Ahmad,CSK,BOWL,2.00,10.00
Rahul Chahar,SRH,BOWL,1.00,3.20
Wanindu Hasaranga,RR,BOWL,2.00,5.25
Waqar Salamkheil,-,BOWL,0.75,Unsold
Maheesh Theekshana,RR,BOWL,2.00,4.40
Adam Zampa,SRH,BOWL,2.00,2.40
Vaibhav Arora,KKR,BOWL,0.30,1.80
Rasikh Salam,RCB,BOWL,0.30,6.00
Akash Madhwal,RR,BOWL,0.30,1.20
Mohit Sharma,DC,BOWL,0.50,2.20
Simarjeet Singh,SRH,BOWL,0.30,1.50
Yash Thakur,PBKS,BOWL,0.40,1.60
Kartik Tyagi,-,BOWL,0.30,Unsold
Vijaykumar Vyshak,PBKS,BOWL,0.30,1.80
