Players,Team,Type,Base,Sold
Hardik Pandya,MI,AR,-,16.35
Tilak Varma,MI,AR,-,8.00
Pat Cummins,SRH,AR,-,18.00
Abhishek Sharma,SRH,AR,-,14.00
Nitish Kumar Reddy,SRH,AR,-,6.00
Ravindra Jadeja,CSK,AR,-,18.00
Shivam Dube,CSK,AR,-,12.00
Axar Patel,DC,AR,-,16.50
Varun Chakravarthy,KKR,AR,-,12.00
Andre Russell,KKR,AR,-,12.00
Ramandeep Singh,KKR,AR,-,4.00
Yashasvi Jaiswal,RR,AR,-,18.00
Riyan Parag,RR,AR,-,14.00
Sai Sudharsan,GT,AR,-,8.50
Rahul Tewatia,GT,AR,-,4.00
M Shahrukh Khan,GT,AR,-,4.00
Ayush Badoni,LSG,AR,-,4.00
Shashank Singh,PBKS,AR,-,5.50
Liam Livingstone,RCB,AR,2.00,8.75
Ravichandran Ashwin,CSK,AR,2.00,9.75
Venkatesh Iyer,KKR,AR,2.00,23.75
Mitchell Marsh,LSG,AR,2.00,3.40
Glenn Maxwell,PBKS,AR,2.00,4.20
Harshal Patel,SRH,AR,2.00,8.00
Rachin Ravindra,CSK,AR,1.50,4.00
Marcus Stoinis,PBKS,AR,2.00,11.00
Harpreet Brar,PBKS,AR,0.30,1.50
Naman Dhir,MI,AR,0.30,5.25
Mahipal Lomror,GT,AR,0.50,1.70
Sameer Rizvi,DC,AR,0.30,0.95
Abdul Samad,LSG,AR,0.30,4.20
Vijay Shankar,CSK,AR,0.30,1.20
Ashutosh Sharma,DC,AR,0.30,3.80
Nishant Sindhu,GT,AR,0.30,0.30
Utkarsh Singh,-,AR,0.30,Unsold
Sam Curran,CSK,AR,2.00,2.40
Marco Jansen,PBKS,AR,1.25,7.00
Daryl Mitchell,-,AR,2.00,Unsold
Krunal Pandya,RCB,AR,2.00,5.75
Nitish Rana,RR,AR,1.50,4.20
Washington Sundar,GT,AR,2.00,3.20
Shardul Thakur,-,AR,2.00,Unsold
Mayank Dagar,-,AR,0.30,Unsold
Anshul Kamboj,CSK,AR,0.30,3.40
Arshad Khan,GT,AR,0.30,1.30
Darshan Nalkande,DC,AR,0.30,0.30
Suyash Prabhudessai,-,AR,0.30,TBA
Anukul Roy,KKR,AR,0.30,0.40
Swapnil Singh,RCB,AR,0.30,0.50
Sanvir Singh,-,AR,0.30,TBA
Shahbaz Ahmed,LSG,AR,1.00,2.40
Moeen Ali,KKR,AR,2.00,2.00
Tim David,RCB,AR,2.00,3.00
Deepak Hooda,CSK,AR,0.75,1.70
Will Jacks,MI,AR,2.00,5.25
Azmatullah Omarzai,PBKS,AR,1.50,2.40
Sai Kishore,GT,AR,0.75,2.00
