Players,Team,Type,Base,Sold
Virat Kohli,RCB,BAT,-,21.00
Rajat Patidar,RCB,BAT,-,11.00
Suryakumar Yadav,MI,BAT,-,16.35
Rohit Sharma,MI,BAT,-,16.30
Heinrich Klaasen,SRH,BAT,-,23.00
Travis Head,SRH,BAT,-,14.00
Ruturaj Gaikwad,CSK,BAT,-,18.00
MS Dhoni,CSK,BAT,-,4.00
Tristan Stubbs,DC,BAT,-,10.00
Abishek Porel,DC,BAT,-,4.00
Rinku Singh,KKR,BAT,-,13.00
Sanju Samson,RR,BAT,-,18.00
Dhruv Jurel,RR,BAT,-,14.00
Shimron Hetmyer,RR,BAT,-,11.00
Shubman Gill,GT,BAT,-,16.50
Nicholas Pooran,LSG,BAT,-,21.00
Prabhsimran Singh,PBKS,BAT,-,4.00
Jos Buttler,GT,BAT,2.00,15.75
Shreyas Iyer,PBKS,BAT,2.00,26.75
Rishabh Pant,LSG,BAT,2.00,27.00
David Miller,LSG,BAT,1.50,7.50
KL Rahul,DC,BAT,2.00,14.00
Harry Brook,DC,BAT,2.00,6.25
Devon Conway,CSK,BAT,2.00,6.25
Jake Fraser-McGurk,DC,BAT,2.00,9.00
Aiden Markram,LSG,BAT,2.00,2.00
Devdutt Padikkal,RCB,BAT,2.00,2.00
Rahul Tripathi,CSK,BAT,0.75,3.40
David Warner,-,BAT,2.00,Unsold
Jonny Bairstow,-,BAT,2.00,Unsold
Quinton de Kock,KKR,BAT,2.00,3.60
Rahmanullah Gurbaz,KKR,BAT,2.00,2.00
Ishan Kishan,SRH,BAT,2.00,11.25
Phil Salt,RCB,BAT,2.00,11.50
Jitesh Sharma,RCB,BAT,1.00,11.00
Yash Dhull,-,BAT,0.30,Unsold
Abhinav Manohar,SRH,BAT,0.30,3.20
Karun Nair,DC,BAT,0.30,0.50
Angkrish Raghuvanshi,KKR,BAT,0.30,3.00
Anmolpreet Singh,-,BAT,0.30,Unsold
Atharva Taide,SRH,BAT,0.30,0.30
Nehal Wadhera,PBKS,BAT,0.30,4.20
Aryan Juyal,LSG,BAT,0.30,0.30
Kumar Kushagra,GT,BAT,0.30,0.65
Robin Minz,MI,BAT,0.30,0.65
Anuj Rawat,GT,BAT,0.30,0.30
Luvnith Sisodia,KKR,BAT,0.30,0.30
Vishnu Vinod,PBKS,BAT,0.30,0.95
Upendra Yadav,-,BAT,0.30,Unsold
Mayank Agarawal,-,BAT,1.00,Unsold
Faf du Plessis,DC,BAT,2.00,2.00
Glenn Phillips,GT,BAT,2.00,2.00
Rovman Powell,KKR,BAT,1.50,1.50
Ajinkya Rahane,KKR,BAT,1.50,1.50
Prithvi Shaw,-,BAT,0.75,Unsold
Kane Williamson,-,BAT,2.00,Unsold
Srikar Bharat,-,BAT,0.75,Unsold
Alex Carey,-,BAT,1.00,Unsold
Donovan Ferreira,DC,BAT,0.75,0.75
Shai Hope,-,BAT,1.25,Unsold
Josh Inglis,PBKS,BAT,2.00,2.60
Ryan Rickelton,MI,BAT,1.00,1.00
Ricky Bhui,-,BAT,0.30,TBA
Swastik Chikara,RCB,BAT,0.30,0.30
Aarya Desai,-,BAT,0.30,TBA
Shubham Dubey,RR,BAT,0.30,0.80
Madhav Kaushik,-,BAT,0.30,Unsold
Pukhraj Mann,-,BAT,0.30,Unsold
Shaik Rasheed,CSK,BAT,0.30,0.30
Himmat Singh,LSG,BAT,0.30,0.30
Aravelly Avanish,-,BAT,0.30,Unsold
Vansh Bedi,CSK,BAT,0.30,0.55
Saurav Chauhan,-,BAT,0.30,TBA
Harvik Desai,-,BAT,0.30,Unsold
Tom Kohler-Cadmore,-,BAT,0.50,TBA
