players,type,year,sold_price
Virat Kohli,Batsman,2025,210000000.0
Rajat Patidar,Batsman,2025,110000000.0
Yash Dayal,Bowler,2025,50000000.0
Jasprit Bumrah,Bowler,2025,180000000.0
Suryakumar Yadav,Batsman,2025,163500000.0
Hardik Pandya,All-Rounder,2025,163500000.0
Rohit Sharma,Batsman,2025,163000000.0
Tilak Varma,All-Rounder,2025,80000000.0
Heinrich Klaasen,Batsman,2025,230000000.0
Pat Cummins,All-Rounder,2025,180000000.0
Abhishek Sharma,All-Rounder,2025,140000000.0
Travis Head,Batsman,2025,140000000.0
Nitish Kumar Reddy,All-Rounder,2025,60000000.0
Ruturaj Gaikwad,Batsman,2025,180000000.0
Ravindra Jadeja,All-Rounder,2025,180000000.0
Matheesha Pathirana,Bowler,2025,130000000.0
Shivam Dube,All-Rounder,2025,120000000.0
MS Dhoni,Batsman,2025,40000000.0
Axar Patel,All-Rounder,2025,165000000.0
Kuldeep Yadav,Bowler,2025,132500000.0
Tristan Stubbs,Batsman,2025,100000000.0
Abishek Porel,Batsman,2025,40000000.0
Rinku Singh,Batsman,2025,130000000.0
Varun Chakravarthy,All-Rounder,2025,120000000.0
Sunil Narine,Bowler,2025,120000000.0
Andre Russell,All-Rounder,2025,120000000.0
Harshit Rana,Bowler,2025,40000000.0
Ramandeep Singh,All-Rounder,2025,40000000.0
Sanju Samson,Batsman,2025,180000000.0
Yashasvi Jaiswal,All-Rounder,2025,180000000.0
Riyan Parag,All-Rounder,2025,140000000.0
Dhruv Jurel,Batsman,2025,140000000.0
Shimron Hetmyer,Batsman,2025,110000000.0
Sandeep Sharma,Bowler,2025,40000000.0
Rashid Khan,Bowler,2025,180000000.0
Shubman Gill,Batsman,2025,165000000.0
Sai Sudharsan,All-Rounder,2025,85000000.0
Rahul Tewatia,All-Rounder,2025,40000000.0
M Shahrukh Khan,All-Rounder,2025,40000000.0
Nicholas Pooran,Batsman,2025,210000000.0
Ravi Bishnoi,Bowler,2025,110000000.0
Mayank Yadav,Bowler,2025,110000000.0
Mohsin Khan,Bowler,2025,40000000.0
Ayush Badoni,All-Rounder,2025,40000000.0
Shashank Singh,All-Rounder,2025,55000000.0
Prabhsimran Singh,Batsman,2025,40000000.0
Jos Buttler,Batsman,2025,157500000.0
Shreyas Iyer,Batsman,2025,267500000.0
Rishabh Pant,Batsman,2025,270000000.0
Kagiso Rabada,Bowler,2025,107500000.0
Arshdeep Singh,Bowler,2025,180000000.0
Mitchell Starc,Bowler,2025,117500000.0
Yuzvendra Chahal,Bowler,2025,180000000.0
Liam Livingstone,All-Rounder,2025,87500000.0
David Miller,Batsman,2025,75000000.0
KL Rahul,Batsman,2025,140000000.0
Mohammed Shami,Bowler,2025,100000000.0
Mohammed Siraj,Bowler,2025,122500000.0
Harry Brook,Batsman,2025,62500000.0
Devon Conway,Batsman,2025,62500000.0
Jake Fraser-McGurk,Batsman,2025,90000000.0
Aiden Markram,Batsman,2025,20000000.0
Devdutt Padikkal,Batsman,2025,20000000.0
Rahul Tripathi,Batsman,2025,34000000.0
Ravichandran Ashwin,All-Rounder,2025,97500000.0
Venkatesh Iyer,All-Rounder,2025,237500000.0
Mitchell Marsh,All-Rounder,2025,34000000.0
Glenn Maxwell,All-Rounder,2025,42000000.0
Harshal Patel,All-Rounder,2025,80000000.0
Rachin Ravindra,All-Rounder,2025,40000000.0
Marcus Stoinis,All-Rounder,2025,110000000.0
Quinton de Kock,Batsman,2025,36000000.0
Rahmanullah Gurbaz,Batsman,2025,20000000.0
Ishan Kishan,Batsman,2025,112500000.0
Phil Salt,Batsman,2025,115000000.0
Jitesh Sharma,Batsman,2025,110000000.0
Khaleel Ahmed,Bowler,2025,48000000.0
Trent Boult,Bowler,2025,125000000.0
Josh Hazlewood,Bowler,2025,125000000.0
Avesh Khan,Bowler,2025,97500000.0
Prasidh Krishna,Bowler,2025,95000000.0
T Natarajan,Bowler,2025,107500000.0
Anrich Nortje,Bowler,2025,65000000.0
Noor Ahmad,Bowler,2025,100000000.0
Rahul Chahar,Bowler,2025,32000000.0
Wanindu Hasaranga,Bowler,2025,52500000.0
Maheesh Theekshana,Bowler,2025,44000000.0
Adam Zampa,Bowler,2025,24000000.0
Abhinav Manohar,Batsman,2025,32000000.0
Karun Nair,Batsman,2025,5000000.0
Angkrish Raghuvanshi,Batsman,2025,30000000.0
Atharva Taide,Batsman,2025,3000000.0
Nehal Wadhera,Batsman,2025,42000000.0
Harpreet Brar,All-Rounder,2025,15000000.0
Naman Dhir,All-Rounder,2025,52500000.0
Mahipal Lomror,All-Rounder,2025,17000000.0
Sameer Rizvi,All-Rounder,2025,9500000.0
Abdul Samad,All-Rounder,2025,42000000.0
Vijay Shankar,All-Rounder,2025,12000000.0
Ashutosh Sharma,All-Rounder,2025,38000000.0
Nishant Sindhu,All-Rounder,2025,3000000.0
Aryan Juyal,Batsman,2025,3000000.0
Kumar Kushagra,Batsman,2025,6500000.0
Robin Minz,Batsman,2025,6500000.0
Anuj Rawat,Batsman,2025,3000000.0
Luvnith Sisodia,Batsman,2025,3000000.0
Vishnu Vinod,Batsman,2025,9500000.0
Vaibhav Arora,Bowler,2025,18000000.0
Rasikh Salam,Bowler,2025,60000000.0
Akash Madhwal,Bowler,2025,12000000.0
Mohit Sharma,Bowler,2025,22000000.0
Simarjeet Singh,Bowler,2025,15000000.0
Yash Thakur,Bowler,2025,16000000.0
Vijaykumar Vyshak,Bowler,2025,18000000.0
Shreyas Gopal,Bowler,2025,3000000.0
Mayank Markande,Bowler,2025,3000000.0
Suyash Sharma,Bowler,2025,26000000.0
Karn Sharma,Bowler,2025,5000000.0
Kumar Kartikeya,Bowler,2025,3000000.0
Manav Suthar,Bowler,2025,3000000.0
Faf du Plessis,Batsman,2025,20000000.0
Glenn Phillips,Batsman,2025,20000000.0
Rovman Powell,Batsman,2025,15000000.0
Ajinkya Rahane,Batsman,2025,15000000.0
Sam Curran,All-Rounder,2025,24000000.0
Marco Jansen,All-Rounder,2025,70000000.0
Krunal Pandya,All-Rounder,2025,57500000.0
Nitish Rana,All-Rounder,2025,42000000.0
Washington Sundar,All-Rounder,2025,32000000.0
Donovan Ferreira,Batsman,2025,7500000.0
Josh Inglis,Batsman,2025,26000000.0
Ryan Rickelton,Batsman,2025,10000000.0
Deepak Chahar,Bowler,2025,92500000.0
Gerald Coetzee,Bowler,2025,24000000.0
Akash Deep,Bowler,2025,80000000.0
