players,type,year,sold_price,unique_id
Virat Kohli,Batsman,2025,210000000.0,PW30OT
Rajat Patidar,Batsman,2025,110000000.0,1BI2VX
Yash Dayal,Bowler,2025,50000000.0,SOCG50
Jasprit Bumrah,Bowler,2025,180000000.0,5ZAKDJ
Suryakumar Yadav,Batsman,2025,163500000.0,WQMNN1
Hardik Pandya,All-Rounder,2025,163500000.0,GDL86G
Rohit Sharma,Batsman,2025,163000000.0,ANHP9F
Tilak Varma,All-Rounder,2025,80000000.0,JAN0MU
Heinrich Klaasen,Batsman,2025,230000000.0,401D9A
Pat Cummins,All-Rounder,2025,180000000.0,Y99G1S
Abhishek Sharma,All-Rounder,2025,140000000.0,FCO4DS
Travis Head,Batsman,2025,140000000.0,80VEMA
Nitish Kumar Reddy,All-Rounder,2025,60000000.0,ZR6IAI
Ruturaj Gaikwad,Batsman,2025,180000000.0,55W3CZ
Ravindra Jadeja,All-Rounder,2025,180000000.0,GT0O7G
Matheesha Pathirana,Bowler,2025,130000000.0,WRA3S4
Shivam Dube,All-Rounder,2025,120000000.0,7HGK5B
MS Dhoni,Batsman,2025,40000000.0,C1RZ7R
Axar Patel,All-Rounder,2025,165000000.0,IV89KK
Kuldeep Yadav,Bowler,2025,132500000.0,03GUM9
Tristan Stubbs,Batsman,2025,100000000.0,HJ6F0E
Abishek Porel,Batsman,2025,40000000.0,GYZ1D2
Rinku Singh,Batsman,2025,130000000.0,3HQYHW
Varun Chakravarthy,All-Rounder,2025,120000000.0,ZYOTHC
Sunil Narine,Bowler,2025,120000000.0,NG776H
Andre Russell,All-Rounder,2025,120000000.0,JAQD3W
Harshit Rana,Bowler,2025,40000000.0,0D985V
Ramandeep Singh,All-Rounder,2025,40000000.0,IHWGFH
Sanju Samson,Batsman,2025,180000000.0,GXQLYB
Yashasvi Jaiswal,All-Rounder,2025,180000000.0,AIUTBG
Riyan Parag,All-Rounder,2025,140000000.0,KITRL7
Dhruv Jurel,Batsman,2025,140000000.0,D3SUIL
Shimron Hetmyer,Batsman,2025,110000000.0,XQA4IM
Sandeep Sharma,Bowler,2025,40000000.0,6H1TA0
Rashid Khan,Bowler,2025,180000000.0,EN4YHO
Shubman Gill,Batsman,2025,165000000.0,83D7F9
Sai Sudharsan,All-Rounder,2025,85000000.0,A207P4
Rahul Tewatia,All-Rounder,2025,40000000.0,U9YPHI
M Shahrukh Khan,All-Rounder,2025,40000000.0,HJKSWD
Nicholas Pooran,Batsman,2025,210000000.0,J5WCKS
Ravi Bishnoi,Bowler,2025,110000000.0,CBNHEQ
Mayank Yadav,Bowler,2025,110000000.0,B03VRP
Mohsin Khan,Bowler,2025,40000000.0,Y2UBXS
Ayush Badoni,All-Rounder,2025,40000000.0,IHUX6U
Shashank Singh,All-Rounder,2025,55000000.0,ZXA937
Prabhsimran Singh,Batsman,2025,40000000.0,KVRMNM
Jos Buttler,Batsman,2025,157500000.0,EPO2DU
Shreyas Iyer,Batsman,2025,267500000.0,GBGXSM
Rishabh Pant,Batsman,2025,270000000.0,DG3ZZP
Kagiso Rabada,Bowler,2025,107500000.0,VXKZS9
Arshdeep Singh,Bowler,2025,180000000.0,ICFG1Z
Mitchell Starc,Bowler,2025,117500000.0,CC1XN0
Yuzvendra Chahal,Bowler,2025,180000000.0,TL6N4F
Liam Livingstone,All-Rounder,2025,87500000.0,K6J2RG
David Miller,Batsman,2025,75000000.0,7E9RI3
KL Rahul,Batsman,2025,140000000.0,PJ7Z9K
Mohammed Shami,Bowler,2025,100000000.0,7PVJWM
Mohammed Siraj,Bowler,2025,122500000.0,ZUUU7T
Harry Brook,Batsman,2025,62500000.0,83GWYW
Devon Conway,Batsman,2025,62500000.0,4IUN9W
Jake Fraser-McGurk,Batsman,2025,90000000.0,AOSXO8
Aiden Markram,Batsman,2025,20000000.0,MHI7AD
Devdutt Padikkal,Batsman,2025,20000000.0,W6SDBT
Rahul Tripathi,Batsman,2025,34000000.0,PEYJE5
Ravichandran Ashwin,All-Rounder,2025,97500000.0,GZIVCV
Venkatesh Iyer,All-Rounder,2025,237500000.0,8O8GUI
Mitchell Marsh,All-Rounder,2025,34000000.0,9Z4BID
Glenn Maxwell,All-Rounder,2025,42000000.0,3PR9PC
Harshal Patel,All-Rounder,2025,80000000.0,WI4F2M
Rachin Ravindra,All-Rounder,2025,40000000.0,01VG3J
Marcus Stoinis,All-Rounder,2025,110000000.0,PR7AJL
Quinton de Kock,Batsman,2025,36000000.0,F8WNFU
Rahmanullah Gurbaz,Batsman,2025,20000000.0,05SY19
Ishan Kishan,Batsman,2025,112500000.0,GJFURH
Phil Salt,Batsman,2025,115000000.0,K7RQYK
Jitesh Sharma,Batsman,2025,110000000.0,6ENOKG
Khaleel Ahmed,Bowler,2025,48000000.0,71ZVQT
Trent Boult,Bowler,2025,125000000.0,KC6XYT
Josh Hazlewood,Bowler,2025,125000000.0,IA3RL6
Avesh Khan,Bowler,2025,97500000.0,AT1H8M
Prasidh Krishna,Bowler,2025,95000000.0,EJMUNV
T Natarajan,Bowler,2025,107500000.0,6SAAQZ
Anrich Nortje,Bowler,2025,65000000.0,U0O5HT
Noor Ahmad,Bowler,2025,100000000.0,ZNO879
Rahul Chahar,Bowler,2025,32000000.0,2MTMU9
Wanindu Hasaranga,Bowler,2025,52500000.0,SHWL9H
Maheesh Theekshana,Bowler,2025,44000000.0,7DM32H
Adam Zampa,Bowler,2025,24000000.0,EKGC7V
Abhinav Manohar,Batsman,2025,32000000.0,7SE5R9
Karun Nair,Batsman,2025,5000000.0,T3678E
Angkrish Raghuvanshi,Batsman,2025,30000000.0,WJCPOP
Atharva Taide,Batsman,2025,3000000.0,1BUBE9
Nehal Wadhera,Batsman,2025,42000000.0,WLDDJ8
Harpreet Brar,All-Rounder,2025,15000000.0,ANCNX1
Naman Dhir,All-Rounder,2025,52500000.0,RAOOK7
Mahipal Lomror,All-Rounder,2025,17000000.0,9AWVXR
Sameer Rizvi,All-Rounder,2025,9500000.0,XVLKTK
Abdul Samad,All-Rounder,2025,42000000.0,RH7L23
Vijay Shankar,All-Rounder,2025,12000000.0,B8LU1C
Ashutosh Sharma,All-Rounder,2025,38000000.0,EHCXPR
Nishant Sindhu,All-Rounder,2025,3000000.0,UWDMBL
Aryan Juyal,Batsman,2025,3000000.0,6SCDQE
Kumar Kushagra,Batsman,2025,6500000.0,394FUK
Robin Minz,Batsman,2025,6500000.0,GDS1CN
Anuj Rawat,Batsman,2025,3000000.0,9KJFK7
Luvnith Sisodia,Batsman,2025,3000000.0,GG5I6Y
Vishnu Vinod,Batsman,2025,9500000.0,TATZCO
Vaibhav Arora,Bowler,2025,18000000.0,LZVFUB
Rasikh Salam,Bowler,2025,60000000.0,IWIY7A
Akash Madhwal,Bowler,2025,12000000.0,XR5Y1O
Mohit Sharma,Bowler,2025,22000000.0,QCN03N
Simarjeet Singh,Bowler,2025,15000000.0,WYVGC3
Yash Thakur,Bowler,2025,16000000.0,J7H5HS
Vijaykumar Vyshak,Bowler,2025,18000000.0,J2747B
Shreyas Gopal,Bowler,2025,3000000.0,BI3SEX
Mayank Markande,Bowler,2025,3000000.0,VK17I4
Suyash Sharma,Bowler,2025,26000000.0,4S93FL
Karn Sharma,Bowler,2025,5000000.0,6M33O3
Kumar Kartikeya,Bowler,2025,3000000.0,E0KZSZ
Manav Suthar,Bowler,2025,3000000.0,X2AGGQ
Faf du Plessis,Batsman,2025,20000000.0,Y6HKVZ
Glenn Phillips,Batsman,2025,20000000.0,QNZHYG
Rovman Powell,Batsman,2025,15000000.0,CPA4TA
Ajinkya Rahane,Batsman,2025,15000000.0,6DY5F1
Sam Curran,All-Rounder,2025,24000000.0,9GNC27
Marco Jansen,All-Rounder,2025,70000000.0,DLKBW8
Krunal Pandya,All-Rounder,2025,57500000.0,BEVT27
Nitish Rana,All-Rounder,2025,42000000.0,BH3FJ4
Washington Sundar,All-Rounder,2025,32000000.0,CX3CLY
Donovan Ferreira,Batsman,2025,7500000.0,KTW19K
Josh Inglis,Batsman,2025,26000000.0,Z04QHI
Ryan Rickelton,Batsman,2025,10000000.0,9ZLX0Y
Deepak Chahar,Bowler,2025,92500000.0,HCMOIN
Gerald Coetzee,Bowler,2025,24000000.0,8D5W1L
Akash Deep,Bowler,2025,80000000.0,BTVW99
Tushar Deshpande,Bowler,2025,65000000.0,3HZ41I
Lockie Ferguson,Bowler,2025,20000000.0,F9D61D
Bhuvneshwar Kumar,Bowler,2025,107500000.0,LT8GWR
Mukesh Kumar,Bowler,2025,80000000.0,VC5KX6
AM Ghazanfar,Bowler,2025,48000000.0,5DX4SK
Swastik Chikara,Batsman,2025,3000000.0,ACVH6A
Shubham Dubey,Batsman,2025,8000000.0,IODMKE
Shaik Rasheed,Batsman,2025,3000000.0,PTV2UD
Himmat Singh,Batsman,2025,3000000.0,4FTYWT
Anshul Kamboj,All-Rounder,2025,34000000.0,JHCRWJ
Arshad Khan,All-Rounder,2025,13000000.0,0E98FG
Darshan Nalkande,All-Rounder,2025,3000000.0,DH3CYK
Anukul Roy,All-Rounder,2025,4000000.0,Z0WJPJ
Swapnil Singh,All-Rounder,2025,5000000.0,52EP0J
Vansh Bedi,Batsman,2025,5500000.0,FMS3A7
Kunal Singh Rathore,Batsman,2025,3000000.0,Q6O8V9
Gurnoor Brar,Bowler,2025,13000000.0,N0STFB
Mukesh Choudhary,Bowler,2025,3000000.0,QQBQ6R
Arjun Tendulkar,Bowler,2025,3000000.0,C61SXA
Zeeshan Ansari,Bowler,2025,4000000.0,VFUS1A
Manimaran Siddharth,Bowler,2025,7500000.0,0L1KUH
Digvesh Singh,Bowler,2025,3000000.0,XB1C9R
Manish Pandey,Batsman,2025,7500000.0,E9A47M
Sherfane Rutherford,Batsman,2025,26000000.0,VKDBPP
Shahbaz Ahmed,All-Rounder,2025,24000000.0,53BKV3
Moeen Ali,All-Rounder,2025,20000000.0,9VHHII
Tim David,All-Rounder,2025,30000000.0,K4KNWF
Deepak Hooda,All-Rounder,2025,17000000.0,TDZYMR
Will Jacks,All-Rounder,2025,52500000.0,WVUXJK
Azmatullah Omarzai,All-Rounder,2025,24000000.0,LYF2Q3
Sai Kishore,All-Rounder,2025,20000000.0,4F4P5W
Romario Shepherd,All-Rounder,2025,15000000.0,WRXPXW
Spencer Johnson,Bowler,2025,28000000.0,4FGSCO
Umran Malik,Bowler,2025,7500000.0,2ZI81B
Ishant Sharma,Bowler,2025,7500000.0,JEP285
Nuwan Thushara,Bowler,2025,16000000.0,U6RIAX
Jaydev Unadkat,Bowler,2025,10000000.0,DPH377
Sachin Baby,Batsman,2025,3000000.0,NY9AHB
Harnoor Singh,Batsman,2025,3000000.0,UX7367
C Andre Siddarth,Batsman,2025,3000000.0,FEDIXJ
Yudhvir Singh,All-Rounder,2025,3500000.0,LRFGZZ
Rajvardhan Hangargekar,All-Rounder,2025,3000000.0,8OQNSM
Arshin Kulkarni,All-Rounder,2025,3000000.0,VYXSH8
Ashwani Kumar,Bowler,2025,3000000.0,VVNR1W
Akash Singh,Bowler,2025,3000000.0,9MPVI6
Gurjapneet Singh,Bowler,2025,22000000.0,CNSBAD
Matthew Breetzke,Batsman,2025,7500000.0,ZY0OVD
Mitchell Santner,All-Rounder,2025,20000000.0,Z597LC
Jayant Yadav,All-Rounder,2025,7500000.0,5GUP1I
Fazalhaq Farooqi,Bowler,2025,20000000.0,3T5800
Kwena Maphaka,Bowler,2025,15000000.0,1YZETB
Kuldeep Sen,Bowler,2025,8000000.0,CRUYZS
Reece Topley,Bowler,2025,7500000.0,AONKA9
Lizaad Williams,Bowler,2025,7500000.0,4M8ORR
Priyansh Arya,All-Rounder,2025,38000000.0,E4KN8X
Manoj Bhandage,All-Rounder,2025,3000000.0,MKRKZ8
Praveen Dubey,All-Rounder,2025,3000000.0,25AP4O
Ajay Mandal,All-Rounder,2025,3000000.0,PZYVVY
Vipraj Nigam,All-Rounder,2025,5000000.0,CN194M
Krishnan Shrijith,Batsman,2025,3000000.0,WL0YVE
Mohit Rathee,Bowler,2025,3000000.0,4Q63DU
Jacob Bethell,All-Rounder,2025,26000000.0,GUO0K0
Brydon Carse,All-Rounder,2025,10000000.0,LDY68Q
Aaron Hardie,All-Rounder,2025,12500000.0,82U7I3
Kamindu Mendis,All-Rounder,2025,7500000.0,WYWP12
Dushmantha Chameera,Bowler,2025,7500000.0,G7ZSIC
Nathan Ellis,Bowler,2025,20000000.0,VT3K60
Shamar Joseph,Bowler,2025,7500000.0,UJ7BMA
Aniket Verma,Batsman,2025,3000000.0,6LWQY1
Raj Bawa,All-Rounder,2025,3000000.0,TY8NW0
Musheer Khan,All-Rounder,2025,3000000.0,N1CED5
Manvanth Kumar,All-Rounder,2025,3000000.0,T5IUTS
Suryansh Shedge,All-Rounder,2025,3000000.0,SWPK00
Kulwant Khejroliya,Bowler,2025,3000000.0,WJJ65Y
Prince Yadav,Bowler,2025,3000000.0,7QP1WU
Jamie Overton,All-Rounder,2025,15000000.0,V1MWPR
Xavier Bartlett,Bowler,2025,8000000.0,6RP0W0
Lungi Ngidi,Bowler,2025,10000000.0,OFBDPA
Kamlesh Nagarkoti,All-Rounder,2025,3000000.0,8Y1PSF
Abhinandan Singh,Bowler,2025,3000000.0,CIWF36
Karim Janat,All-Rounder,2025,7500000.0,29J9TC
Pyla Avinash,Batsman,2025,3000000.0,FPXGAS
Ramakrishna Ghosh,All-Rounder,2025,3000000.0,PEKWU0
Satyanarayana Raju,Bowler,2025,3000000.0,A0NIBP
Bevon Jacobs,Batsman,2025,3000000.0,GQ0FDW
Ashok Sharma,Bowler,2025,3000000.0,DPBUN8
Vaibhav Suryavanshi,Batsman,2025,11000000.0,YZMBH2
Eshan Malinga,Bowler,2025,12000000.0,GL49TV
Tripurana Vijay,All-Rounder,2025,3000000.0,HDEZQM
Madhav Tiwari,All-Rounder,2025,4000000.0,KK5YPN
Vignesh Puthur,All-Rounder,2025,3000000.0,LOTUY1
Jofra Archer,Bowler,2025,125000000.0,VROXC2
Avanish Rao Aravelly,Wicket-Keeper,2024,2000000.0,0NQ06E
Mustafizur Rahman,Bowler,2024,20000000.0,HRYYH1
Daryl Mitchell,All-Rounder,2024,140000000.0,QXHTRS
Sameer Rizvi,Batsman,2024,84000000.0,XVLKTK
Rachin Ravindra,All-Rounder,2024,18000000.0,01VG3J
Shardul Thakur,All-Rounder,2024,40000000.0,75QCHD
Ricky Bhui,Wicket-Keeper,2024,2000000.0,MUPGFV
Sumit Kumar,All-Rounder,2024,10000000.0,4RR5YJ
Swastik Chhikara,Batsman,2024,2000000.0,2F4VUT
Jhye Richardson,Bowler,2024,50000000.0,ZUG143
Shai Hope,Wicket-Keeper,2024,7500000.0,CK6GN3
Rasikh Dar,Bowler,2024,2000000.0,CBEO14
Kumar Kushagra,Wicket-Keeper,2024,72000000.0,394FUK
Tristan Stubbs,Wicket-Keeper,2024,5000000.0,HJ6F0E
Harry Brook,Batsman,2024,40000000.0,83GWYW
Kartik Tyagi,Bowler,2024,6000000.0,R2JBXX
Spencer Johnson,Bowler,2024,100000000.0,4FGSCO
Manav Suthar,Bowler,2024,2000000.0,X2AGGQ
Robin Minz,Wicket-Keeper,2024,36000000.0,GDS1CN
Sushant Mishra,Bowler,2024,22000000.0,ZJZR5Y
Azmatullah Omarzai,All-Rounder,2024,5000000.0,LYF2Q3
Shahrukh Khan,All-Rounder,2024,74000000.0,J98YRK
Umesh Yadav,Bowler,2024,58000000.0,NNB2T6
