unique_id,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Nationality
82U7I3,aaron hardie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
RH7L23,abdul samad,50.0,10.0,577.0,37.0,395.0,0.0,0.0,37.0,36.0,27.0,0.0,50.0,54.0,113.0,2.0,0.0,0.0,14.42,146.08,56.5,12.56,27.0,India
CIWF36,abhinandan singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India
7SE5R9,abhinav manohar,19.0,1.0,231.0,43.0,174.0,0.0,0.0,21.0,10.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,12.83,132.76,0.0,0.0,0.0,India
FCO4DS,abhishek sharma,63.0,7.0,1377.0,75.0,887.0,0.0,7.0,128.0,73.0,18.0,0.0,63.0,270.0,389.0,11.0,0.0,0.0,24.59,155.24,35.36,8.64,24.55,India
GYZ1D2,abishek porel,18.0,2.0,360.0,65.0,236.0,0.0,2.0,37.0,15.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,22.5,152.54,0.0,0.0,0.0,India
EKGC7V,adam zampa,11.0,0.0,5.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,287.0,370.0,21.0,0.0,1.0,0.45,62.5,17.62,7.74,13.67,Australia
MHI7AD,aiden markram,44.0,9.0,995.0,68.0,767.0,0.0,5.0,73.0,35.0,25.0,0.0,44.0,121.0,172.0,2.0,0.0,0.0,28.43,129.73,86.0,8.53,60.5,South Africa
PZYVVY,ajay mandal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India
6DY5F1,ajinkya rahane,185.0,17.0,4642.0,105.0,3761.0,2.0,30.0,478.0,103.0,71.0,0.0,181.0,6.0,5.0,1.0,0.0,0.0,27.63,123.42,5.0,5.0,6.0,India
