Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
,Aaron Hardie,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Abdul Samad,16,2,182,37*,18.2,108,168.52,0,0,15,11,9,0,16,0,0,0,0,0,0,0,0,0
2023.0,Abdul Samad,9,4,169,37*,42.25,128,132.03,0,0,10,11,4,0,9,0,0,0,0,0,0,0,0,0
2022.0,Abdul Samad,2,0,4,4,2.0,7,57.14,0,0,0,0,1,0,2,6,8,0,0/8,0,8.00,0,0,0
2021.0,Abdul Samad,11,1,111,28,12.33,87,127.58,0,0,4,8,8,0,11,6,9,1,1/9,9.00,9.00,6.00,0,0
2020.0,Abdul Samad,12,3,111,33,22.2,65,170.76,0,0,8,6,5,0,12,42,96,1,1/41,96.00,13.71,42.00,0,0
2024.0,Abhishek Sharma,16,1,484,75*,32.27,237,204.22,0,3,36,42,7,0,16,42,51,2,2/24,25.50,7.29,21.00,0,0
2023.0,Abhishek Sharma,11,0,226,67,20.55,157,143.95,0,2,28,6,4,0,11,72,124,2,1/26,62.00,10.33,36.00,0,0
2022.0,Abhishek Sharma,14,0,426,75,30.43,320,133.13,0,2,47,13,1,0,14,24,38,0,0/10,0,9.50,0,0,0
2021.0,Abhishek Sharma,8,1,98,33,16.33,75,130.66,0,0,7,4,2,0,8,60,64,4,2/4,16.00,6.40,15.00,0,0
2020.0,Abhishek Sharma,8,2,71,31,14.2,56,126.78,0,0,6,3,1,0,8,60,91,2,1/15,45.50,9.10,30.00,0,0
2019.0,Abhishek Sharma,3,1,9,5*,4.5,9,100.0,0,0,1,0,2,0,3,12,21,1,1/10,21.00,10.50,12.00,0,0
2018.0,Abhishek Sharma,3,2,63,46*,63.0,33,190.9,0,0,3,5,1,0,3,0,0,0,0,0,0,0,0,0
,Ajay Mandal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Andre Russell,14,2,222,64*,31.71,120,185.0,0,1,20,16,3,0,15,176,295,19,3/19,15.53,10.06,9.26,0,0
2023.0,Andre Russell,14,3,227,42,20.64,156,145.51,0,0,13,18,6,0,14,91,172,7,3/22,24.57,11.34,13.00,0,0
2022.0,Andre Russell,14,3,335,70*,37.22,192,174.48,0,1,18,32,2,0,14,169,278,17,4/5,16.35,9.87,9.94,1,0
2021.0,Andre Russell,10,2,183,54,26.14,120,152.5,0,1,14,14,2,0,10,114,188,11,5/15,17.09,9.89,10.36,0,1
2020.0,Andre Russell,10,0,117,25,13.0,81,144.44,0,0,9,9,2,0,10,108,175,6,2/29,29.16,9.72,18.00,0,0
2019.0,Andre Russell,14,4,510,80*,56.66,249,204.81,0,4,31,52,4,0,14,181,287,11,2/21,26.09,9.51,16.45,0,0
2018.0,Andre Russell,16,3,316,88*,28.72,171,184.79,0,1,17,31,8,0,16,227,355,13,3/31,27.30,9.38,17.46,0,0
2016.0,Andre Russell,12,1,188,39*,26.85,114,164.91,0,0,10,15,2,0,12,219,291,15,4/20,19.40,7.97,14.60,1,0
2015.0,Andre Russell,13,2,326,66,36.22,169,192.89,0,3,35,19,6,0,13,244,324,14,3/32,23.14,7.96,17.42,0,0
2014.0,Andre Russell,2,0,2,1,1.0,8,25.0,0,0,0,0,0,0,2,30,52,1,1/25,52.00,10.4,30.00,0,0
2013.0,Andre Russell,3,0,11,7,5.5,14,78.57,0,0,0,0,0,0,3,42,68,0,0/13,0,9.71,0,0,0
2012.0,Andre Russell,4,0,47,31,23.5,26,180.76,0,0,3,3,0,0,4,96,161,1,1/51,161.00,10.06,96.00,0,0
2024.0,Anshul Kamboj,3,1,2,2*,0,2,100.0,0,0,0,0,3,0,3,60,114,2,1/24,57.0,11.4,30.0,0,0
2024.0,Anukul Roy,3.0,1.0,3.0,3*,0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,34,60,0,0/6,0,10.59,0,0,0
2023.0,Anukul Roy,4.0,2.0,23.0,13*,11.50,19.0,121.05,0.0,0.0,3.0,0.0,4.0,0.0,4,48,65,3,2/19,21.67,8.13,16.00,0,0
2022.0,Anukul Roy,2.0,0.0,0.0,0,0.00,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,42,55,1,1/28,55.00,7.86,42.00,0,0
2019.0,Anukul Roy,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,11,1,1/11,11.00,5.5,12.00,0,0
2024.0,Arshin Kulkarni,2,0,9,9,4.5,8,112.5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2024.0,Ashutosh Sharma,11,2,189,61,27.0,113,167.26,0,1,10,15,2,0,11,0,0,0,0,0,0,0,0,0
2024.0,Axar Patel,14,4,235,66,29.38,179,131.28,0,2,19,10,13,0,14,264,337,11,2/25,30.64,7.66,24.0,0,0
2023.0,Axar Patel,14,3,283,54,28.3,203,139.41,0,1,21,15,7,0,14,282,338,11,2/13,30.73,7.19,25.64,0,0
2022.0,Axar Patel,13,6,182,42*,45.5,120,151.67,0,0,12,10,8,0,13,258,321,6,2/10,53.5,7.47,43.0,0,0
2021.0,Axar Patel,12,1,40,12,8.0,46,86.95,0,0,2,1,4,0,12,276,306,15,3/21,20.4,6.65,18.4,0,0
2020.0,Axar Patel,15,1,117,42,14.62,85,137.64,0,0,6,8,6,0,15,306,327,9,2/18,36.33,6.41,34.0,0,0
2019.0,Axar Patel,14,6,110,26,18.33,88,125.0,0,0,10,3,9,0,14,306,364,10,2/22,36.4,7.13,30.6,0,0
2018.0,Axar Patel,9,2,80,19,13.33,69,115.94,0,0,3,4,2,0,9,156,218,3,1/21,72.66,8.38,52.0,0,0
2017.0,Axar Patel,14,5,227,44,28.37,162,140.12,0,0,11,11,7,0,14,288,362,15,3/11,24.13,7.54,19.2,0,0
2016.0,Axar Patel,14,3,111,36*,15.85,77,144.15,0,0,4,8,2,0,14,287,388,13,4/21,29.84,8.11,22.07,1,0
2015.0,Axar Patel,14,3,206,40*,22.88,174,118.39,0,0,13,8,7,0,14,280,392,13,2/11,30.15,8.4,21.53,0,0
2014.0,Axar Patel,17,2,62,42*,10.33,60,103.33,0,0,6,1,7,0,17,396,405,17,3/24,23.82,6.13,23.29,0,0
2024.0,Ayush Badoni,14,4,235,55*,29.38,171,137.43,0,2,22,5,3,0,14,12,25,0,0/6,0,12.50,0,0,0
2023.0,Ayush Badoni,15,2,238,59*,23.8,172,138.37,0,1,13,12,2,0,15,1,0,0,0/0,0,0,0,0,0
2022.0,Ayush Badoni,13,3,161,54,20.13,130,123.85,0,1,11,7,9,0,13,12,11,2,1/5,5.50,5.50,6.00,0,0
2024.0,Azmatullah Omarzai,7,0,42,17,10.5,33,127.27,0,0,2,2,0,0,7,126,186,4,2/27,46.5,8.86,31.5,0,0
,Corbin Bosch,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Darshan Nalkande,3,0,12,12,12.00,11.0,109.09,0,0,0,1,2,0,3,29,45,3,2/21,15.0,9.31,9.67,0,0
2023.0,Darshan Nalkande,1,0,0,0,0.00,1.0,0.00,0,0,0,0,0,0,1,24,44,1,1/44,44.0,11.0,24.0,0,0
2022.0,Darshan Nalkande,2,0,0,0,0,0.0,0,0,0,0,0,0,0,2,31,59,2,2/37,29.5,11.42,15.5,0,0
2024.0,Deepak Hooda,11,1,145,50,18.13,105,138.1,0,1,16,3,4,0,11,18,22,0,0/9,0,7.33,0,0,0
2023.0,Deepak Hooda,12,1,84,17,7.64,90,93.33,0,0,3,2,10,0,12,6,8,0,0/8,0,8.0,0,0,0
2022.0,Deepak Hooda,15,0,451,59,32.21,330,136.67,0,4,36,18,8,0,15,24,43,1,1/31,43.00,10.75,24.00,0,0
2021.0,Deepak Hooda,12,1,160,64,16.0,123,130.08,0,1,9,9,7,0,12,96,136,2,1/15,68.00,8.5,48.00,0,0
2020.0,Deepak Hooda,7,4,101,62*,101.0,71,142.25,0,1,5,5,3,0,7,6,9,0,0/9,0,9.0,0,0,0
2019.0,Deepak Hooda,11,1,64,20,10.66,63,101.58,0,0,5,1,10,0,11,12,21,1,1/13,21.00,10.5,12.00,0,0
2018.0,Deepak Hooda,9,4,87,32*,21.75,81,107.4,0,0,2,3,3,0,9,18,24,0,0/8,0,8.0,0,0,0
2017.0,Deepak Hooda,10,3,78,19*,26.0,52,150.0,0,0,5,4,5,0,10,24,42,2,1/7,21.00,10.5,12.00,0,0
2016.0,Deepak Hooda,17,1,144,34,10.28,121,119.0,0,0,9,5,3,0,17,78,97,3,2/16,32.33,7.46,26.00,0,0
2015.0,Deepak Hooda,14,0,151,54,16.77,95,158.94,0,1,6,11,1,0,14,91,129,1,1/35,129.00,8.5,91.00,0,0
2024.0,Glenn Maxwell,10,0,52,28,5.78,43,120.93,0,0,6,2,3,0,10,96,129,6,2/23,21.50,8.06,16.00,0,0
2023.0,Glenn Maxwell,14,2,400,77,33.33,218,183.49,0,5,29,31,4,0,14,62,94,3,1/3,31.33,9.1,20.67,0,0
2022.0,Glenn Maxwell,13,2,301,55,27.36,178,169.1,0,1,31,15,5,0,13,144,165,6,2/22,27.50,6.88,24.00,0,0
2021.0,Glenn Maxwell,15,2,513,78,42.75,356,144.1,0,6,48,21,5,0,15,96,135,3,2/23,45.00,8.43,32.00,0,0
2020.0,Glenn Maxwell,13,4,108,32,15.42,106,101.88,0,0,9,0,4,0,13,126,169,3,1/10,56.33,8.04,42.00,0,0
