Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
,Abhinandan Singh,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2020.0,Adam Zampa,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66,92,2,1/12,46.0,8.36,33.0,0,0
2017.0,Adam Zampa,6.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,0.0,0.0,6,119,163,7,2/22,23.28,8.21,17.0,0,0
2016.0,Adam Zampa,5.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,102,115,12,6/19,9.58,6.76,8.5,0,1
2024.0,Akash Deep,1,1,2,2*,0,2,100.0,0,0,0,0,0,0,1,21,55,1,1/55,55.0,15.71,21.0,0,0
2023.0,Akash Deep,2,0,17,17,17.00,8,212.5,0,0,2,1,1,0,2,30,59,1,1/29,59.0,11.8,30.0,0,0
2022.0,Akash Deep,5,0,0,0,0.00,2,0.0,0,0,0,0,2,0,5,113,205,5,3/45,41.0,10.88,22.6,0,0
2024.0,Akash Madhwal,5,1,4,4*,0,5.0,80.00,0,0,0,0,1,0,5,109,205,5,3/20,41.0,11.28,21.8,0,0
2023.0,Akash Madhwal,8,0,0,0,0,0.0,0,0,0,0,0,0,0,8,153,219,14,5/5,15.64,8.59,10.93,1,1
2023.0,Akash Singh,6.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6,114,188,5,2/40,37.60,9.89,22.80,0,0
2021.0,Akash Singh,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,39,0,0/39,0,9.75,0,0,0
2024.0,Anrich Nortje,6,0,4,4,2.00,8,50.0,0,0,0,0,1,0,6,132,294,7,3/59,42.0,13.36,18.86,0,0
2023.0,Anrich Nortje,10,4,37,23*,12.33,29,127.59,0,0,6,0,2,0,10,240,364,10,2/20,36.4,9.1,24.0,0,0
2022.0,Anrich Nortje,6,1,1,1*,0,6,16.67,0,0,0,0,2,0,6,134,217,9,3/42,24.11,9.72,14.89,0,0
2021.0,Anrich Nortje,8,0,0,0,0.00,0,0.0,0,0,0,0,1,0,8,182,187,12,2/12,15.58,6.16,15.16,0,0
2020.0,Anrich Nortje,16,4,7,3*,7.00,6,116.66,0,0,0,0,4,0,16,366,512,22,3/33,23.27,8.39,16.63,0,0
