Team,Name,Nationality,BattingStyle,BowlingStyle,YearSigned,Notes
Chennai Super Kings,ms dhoni,India,Right-handed,Right-arm Medium,2018,Captain (took over April 11
Chennai Super Kings,ravindra jadeja,India,Left-handed,Left-arm Orthodox,2018,
Chennai Super Kings,jamie overton,England,Right-handed,Right-arm Fast,2025,Overseas
Chennai Super Kings,dewald brevis,South Africa,Right-handed,Right-arm Leg Spin,2025,Overseas; Replacement (for Gurjapneet Singh)
Chennai Super Kings,noor ahmad,Afghanistan,Right-handed,Left-arm Wrist-spin,2025,Overseas
Chennai Super Kings,rachin ravindra,New Zealand,Left-handed,Left-arm Orthodox,2024,Overseas
Chennai Super Kings,shreyas gopal,India,Right-handed,Right-arm Leg Spin,2025,
Chennai Super Kings,shivam dube,India,Left-handed,Right-arm Medium,2022,
Chennai Super Kings,urvil patel,India,Right-handed,,2025,Replacement (for Vansh Bedi)
Chennai Super Kings,andre siddarth,India,Right-handed,,2025,
Chennai Super Kings,mukesh choudhary,India,Left-handed,Left-arm Fast-medium,2022,
Chennai Super Kings,anshul kamboj,India,Right-handed,Right-arm Fast-medium,2025,
Chennai Super Kings,kamlesh nagarkoti,India,Right-handed,Right-arm Fast,2025,
Chennai Super Kings,rahul tripathi,India,Right-handed,Right-arm Medium,2025,
Chennai Super Kings,ayush mhatre,India,Right-handed,Right-arm Off break,2025,Replacement (for Ruturaj Gaikwad)
Chennai Super Kings,deepak hooda,India,Right-handed,Right-arm Off break,2025,
Chennai Super Kings,sam curran,England,Left-handed,Left-arm Fast-medium,2025,Overseas
Chennai Super Kings,vijay shankar,India,Right-handed,Right-arm Medium,2025,
Chennai Super Kings,shaik rasheed,India,Right-handed,Right-arm Leg Spin,2023,
Chennai Super Kings,khaleel ahmed,India,Right-handed,Left-arm Fast-medium,2025,
Chennai Super Kings,nathan ellis,Australia,Right-handed,Right-arm Fast-medium,2025,Overseas
Chennai Super Kings,matheesha pathirana,Sri Lanka,Right-handed,Right-arm Fast,2022,Overseas
Chennai Super Kings,devon conway,New Zealand,Left-handed,Right-arm Medium,2022,Overseas
Chennai Super Kings,ravichandran ashwin,India,Right-handed,Right-arm Off break,2025,
Delhi Capitals,axar patel,India,All‑rounder (Captain),Left‑handed,Left-arm orthodox,2019
Delhi Capitals,kl rahul,India,Wicket-keeper / Batsman,Right‑handed,,2025
Delhi Capitals,faf du plessis,South Africa,Batsman (Vice‑Captain),Right‑handed,Right-arm leg break,2025
Delhi Capitals,abishek porel,India,Wicket-keeper / Batsman,Left‑handed,,2023
Delhi Capitals,tristan stubbs,South Africa,Wicket-keeper / Batsman,Right‑handed,,2024
Delhi Capitals,donovan ferreira,South Africa,Batsman,Right‑handed,,2025
Delhi Capitals,karun nair,India,Batsman,Right‑handed,Right-arm off break,2025
Delhi Capitals,sameer rizvi,India,All-rounder,Right‑handed,Right-arm off break,2025
Delhi Capitals,ashutosh sharma,India,All-rounder,Right‑handed,Right-arm off break,2025
Delhi Capitals,vipraj nigam,India,Spinner,Right‑handed,Right-arm leg break,2025
Delhi Capitals,madhav tiwari,India,All-rounder,Right‑handed,Right-arm fast‑medium,2025
Delhi Capitals,manvanth kumar,India,All-rounder,Right‑handed,Right-arm fast‑medium,2025
Delhi Capitals,darshan nalkande,India,All-rounder,Right‑handed,Right-arm fast‑medium,2025
Delhi Capitals,tripurana vijay,India,All-rounder,Right‑handed,Right-arm off break,2025
Delhi Capitals,ajay mandal,India,Spinner,Left‑handed,Left-arm orthodox,2025
Delhi Capitals,mitchell starc,Australia,Pace Bowler,Left‑handed,Left-arm fast,2025
Delhi Capitals,t natarajan,India,Pace Bowler,Left‑handed,Left-arm fast‑medium,2025
Delhi Capitals,mohit sharma,India,Pace Bowler,Right‑handed,Right-arm medium,2025
Delhi Capitals,mukesh kumar,India,Pace Bowler,Right‑handed,Right-arm medium,2023
Delhi Capitals,dushmantha chameera,Sri Lanka,Pace Bowler,Right‑handed,Right-arm fast,2025
Delhi Capitals,mustafizur rahman,Bangladesh,Pace Bowler,Left‑handed,Left-arm medium,2025
Delhi Capitals,kuldeep yadav,India,Spinner,Left‑handed,Left-arm unorthodox,2022
Gujarat Titans,shubman gill,India,Right-hand bat,Right-arm offbreak,2022,Retailned captain
Gujarat Titans,rashid khan,Afghanistan,Right-hand bat,Right-arm legbreak,2022,Retailned vice captain
Gujarat Titans,sai sudharsan,India,Left-hand bat,,2022,Retailned
Gujarat Titans,jos buttler,England,Right-hand bat,,2025,Mid-season addition
Gujarat Titans,glenn phillips,New Zealand,Right-hand bat,Right-arm offbreak,2025,Overseas all-rounder
Gujarat Titans,sherfane rutherford,West Indies,Left-hand bat,Right-arm fast-medium,2025,Overseas all-rounder
Gujarat Titans,shahrukh khan,India,Right-hand bat,Right-arm offbreak,2025,Finisher
Gujarat Titans,rahul tewatia,India,Left-hand bat,Right-arm legbreak,2022,Retailned all-rounder
Gujarat Titans,washington sundar,India,Left-hand bat,Right-arm offbreak,2025,Spin all-rounder
Gujarat Titans,gerald coetzee,South Africa,Right-hand bat,Right-arm fast,2025,Rejoined in May
Gujarat Titans,kusal mendis,Sri Lanka,Right-hand bat,,2025,Replaced Buttler in playoffs
Gujarat Titans,mohammed siraj,India,Right-hand bat,Right-arm fast,2025,Auction buy
Gujarat Titans,kagiso rabada,South Africa,Left-hand bat,Right-arm fast,2025,Auction buy
Gujarat Titans,prasidh krishna,India,Right-hand bat,Right-arm fast-medium,2025,Auction buy
Gujarat Titans,mahipal lomror,India,Left-hand bat,Slow left-arm orthodox,2025,Domestic signing
Gujarat Titans,gurnoor brar,India,Left-hand bat,Right-arm medium-fast,2025,Domestic signing
Gujarat Titans,kumar kushagra,India,Right-hand bat,,2025,Wicketkeeper-batter
Kolkata Knight Riders,ajinkya rahane,India,Right-handed bat,Right-arm medium,2025,Captain
Kolkata Knight Riders,quinton de kock,South Africa,Left-handed bat,,2025,Overseas wicketkeeper-batter
Kolkata Knight Riders,manish pandey,India,Right-handed bat,Right-arm medium,2024,Domestic batter
Kolkata Knight Riders,luvnith sisodia,India,Left-handed bat,,2025,Wicketkeeper-batter
Kolkata Knight Riders,rahmanullah gurbaz,Afghanistan,Right-handed bat,Right-arm medium-fast,2023,Overseas wicketkeeper-batter
Kolkata Knight Riders,rinku singh,India,Left-handed bat,Right-arm off break,2018,Retained batter
Kolkata Knight Riders,angkrish raghuvanshi,India,Right-handed bat,Right-arm off break,2024,Retained batter
Kolkata Knight Riders,andre russell,West Indies,Right-handed bat,Right-arm fast-medium,2014,Retained overseas all-rounder
Kolkata Knight Riders,ramandeep singh,India,Right-handed bat,Right-arm medium,2024,Retained all-rounder
Kolkata Knight Riders,venkatesh iyer,India,Left-handed bat,Right-arm medium,2021,Vice-captain
Kolkata Knight Riders,anukul roy,India,Left-handed bat,Slow left-arm orthodox,2022,Domestic all-rounder
Kolkata Knight Riders,moeen ali,England,Left-handed bat,Right-arm off break,2025,Overseas all-rounder
Kolkata Knight Riders,rovman powell,West Indies,Right-handed bat,Right-arm medium,2025,Overseas all-rounder
Kolkata Knight Riders,sunil narine,West Indies,Left-handed bat,Right-arm off break,2012,Retained overseas bowler
Kolkata Knight Riders,varun chakravarthy,India,Right-handed bat,Right-arm leg break,2020,Retained spinner
Kolkata Knight Riders,mayank markande,India,Right-handed bat,Right-arm leg break,2025,New domestic spinner
Kolkata Knight Riders,anrich nortje,South Africa,Right-handed bat,Right-arm fast,2025,Overseas pace bowler
Kolkata Knight Riders,vaibhav arora,India,Right-handed bat,Right-arm fast medium,2021,Domestic fast bowler
Kolkata Knight Riders,harshit rana,India,Right-handed bat,Right-arm fast medium,2022,Retained pacer
Kolkata Knight Riders,chetan sakariya,India,Left-handed bat,Left-arm fast,2025,Replacement fast bowler
Kolkata Knight Riders,spencer johnson,Australia,Left-handed bat,Left-arm fast,2025,Overseas pace bowler
Lucknow Super Giants,rishabh pant,India,Left-handed bat,,2025,Captain & wicketkeeper
Lucknow Super Giants,nicholas pooran,West Indies,Left-handed bat,,2023,Vice‑Captain & wicketkeeper
Lucknow Super Giants,david miller,South Africa,Left-handed bat,Right‑arm offbreak,2025,Overseas batter
Lucknow Super Giants,aiden markram,South Africa,Right-handed bat,Right‑arm offbreak,2025,Overseas batter
Lucknow Super Giants,himmat singh,India,Right-handed bat,Right‑arm offbreak,2025,Domestic batter
Lucknow Super Giants,matthew breetzke,South Africa,Right-handed bat,Right‑arm medium,2025,Overseas batter
Lucknow Super Giants,aryan juyal,India,Right-handed bat,,2025,Wicketkeeper-batter
Lucknow Super Giants,shardul thakur,India,Right-handed bat,Right‑arm medium,2025,Replacement player (replaced Mohsin Khan)
Lucknow Super Giants,mitchell marsh,Australia,Right-handed bat,Right‑arm medium‑fast,2025,Overseas all‑rounder
Lucknow Super Giants,shahbaz ahmed,India,Left-handed bat,Left‑arm orthodox,2025,All‑rounder
Lucknow Super Giants,ayush badoni,India,Right-handed bat,Right‑arm offbreak,2022,Domestic all‑rounder
Lucknow Super Giants,yuvraj chaudhary,India,Left-handed bat,Left‑arm orthodox,2025,Domestic all‑rounder
Lucknow Super Giants,abdul samad,India,Right-handed bat,Right‑arm legbreak,2025,Domestic all‑rounder
Lucknow Super Giants,rajvardhan hangargekar,India,Right-handed bat,Right‑arm fast,2025,Domestic all‑rounder
Lucknow Super Giants,avesh khan,India,Right-handed bat,Right‑arm medium‑fast,2025,Pacer
Lucknow Super Giants,akash deep,India,Right-handed bat,Right‑arm medium‑fast,2025,Pacer
Lucknow Super Giants,shamar joseph,West Indies,Left-handed bat,Right‑arm medium‑fast,2025,Overseas pacer
Lucknow Super Giants,prince yadav,India,Right-handed bat,Right‑arm medium‑fast,2025,Pacer
Lucknow Super Giants,akash singh,India,Right-handed bat,Left‑arm medium‑fast,2025,Pacer
Lucknow Super Giants,mayank yadav,India,Right-handed bat,Right‑arm medium‑fast,2022,Pacer
Lucknow Super Giants,manimaran siddharth,India,Right-handed bat,Left‑arm orthodox,2025,Spinner
Lucknow Super Giants,digvesh singh rathi,India,Right-handed bat,Right‑arm legbreak,2025,Spinner
Lucknow Super Giants,ravi bishnoi,India,Right-handed bat,Right‑arm legbreak,2022,Spinner
Mumbai Indians,rohit sharma,India,Right-hand bat,Right-arm offbreak,2011,Retained captain
