MS Dhoni
Ravindra Jadeja
Jamie Overton
Dewald Brevis
Noor Ahmad
Rachin Ravindra
Shreyas Gopal
Shivam Dube
Urvil Patel
Andre Siddarth
Mukesh Choudhary
Anshul Kamboj
Kamlesh Nagarkoti
Rahul Tripathi
Ayush Mhatre
Deepak Hooda
Sam Curran
Vijay Shankar
Shaik Rasheed
Khaleel Ahmed
Nathan Ellis
Matheesha Pathirana
Devon Conway
Ravichandran Ashwin
Axar Patel
KL Rahul
Faf du Plessis
Abishek Porel
Tristan Stubbs
Donovan Ferreira
Karun Nair
Sameer Rizvi
Ashutosh Sharma
Vipraj Nigam
Madhav Tiwari
Manvanth Kumar
Darshan Nalkande
Tripurana Vijay
Ajay Mandal
Mitchell Starc
T Natarajan
Mohit Sharma
Mukesh Kumar
Dushmantha Chameera
Mustafizur Rahman
Kuldeep Yadav
Shubman Gill
Rashid Khan
Sai Sudharsan
Jos Buttler
Glenn Phillips
Sherfane Rutherford
Shahrukh Khan
Rahul Tewatia
Washington Sundar
Gerald Coetzee
Kusal Mendis
Mohammed Siraj
Kagiso Rabada
Prasidh Krishna
Mahipal Lomror
Gurnoor Brar
Kumar Kushagra
Ajinkya Rahane
Quinton de Kock
Manish Pandey
Luvnith Sisodia
Rahmanullah Gurbaz
Rinku Singh
Angkrish Raghuvanshi
Andre Russell
Ramandeep Singh
Venkatesh Iyer
Anukul Roy
Moeen Ali
Rovman Powell
Sunil Narine
Varun Chakravarthy
Mayank Markande
Anrich Nortje
Vaibhav Arora
Harshit Rana
Chetan Sakariya
Spencer Johnson
Rishabh Pant
Nicholas Pooran
David Miller
Aiden Markram
Himmat Singh
Matthew Breetzke
Aryan Juyal
Shardul Thakur
Mitchell Marsh
Shahbaz Ahmed
Ayush Badoni
Yuvraj Chaudhary
Abdul Samad
Rajvardhan Hangargekar
Avesh Khan
Akash Deep
Shamar Joseph
Prince Yadav
Akash Singh
Mayank Yadav
Manimaran Siddharth
Digvesh Singh Rathi
Ravi Bishnoi
Rohit Sharma
Suryakumar Yadav
Hardik Pandya
Tilak Varma
Trent Boult
Jasprit Bumrah
Deepak Chahar
Mitchell Santner
Ryan Rickelton
Kl Shrijith
Robin Minz
Satyanarayana Raju
Arjun Tendulkar
Ashwani Kumar
Karn Sharma
Vignesh Puthur
Bevon Jacobs
Lizaad Williams
Will Jacks
Corbin Bosch
Mujeeb Ur Rahman
Jonny Bairstow
Richard Gleeson
Charith Asalanka
Shreyas Iyer
Priyansh Arya
Prabhsimran Singh
Josh Inglis
Nehal Wadhera
Shashank Singh
Marcus Stoinis
Azmatullah Omarzai
Yuzvendra Chahal
Arshdeep Singh
Lockie Ferguson
Aaron Hardie
Marco Jansen
Glenn Maxwell
Kuldeep Sen
Suryansh Shedge
Pyla Avinash
Harpreet Brar
Musheer Khan
Harnoor Singh
Yash Thakur
Vishnu Vinod
Kyle Jamieson
Sanju Samson
Riyan Parag
Shubham Dubey
Shimron Hetmyer
Yashasvi Jaiswal
Vaibhav Suryavanshi
Lhuan‑dre Pretorius
Dhruv Jurel
Kunal Singh Rathore
Nitish Rana
Yudhvir Singh
Sandeep Sharma
Nandre Burger
Akash Madhwal
Jofra Archer
Tushar Deshpande
Fazalhaq Farooqi
Maheesh Theekshana
Kumar Kartikeya
Wanindu Hasaranga
Kwena Maphaka
Ashok Sharma
Jacob Bethell
Tim David
Suyash Sharma
Abhinandan Singh
Bhuvneshwar Kumar
Romario Shepherd
Virat Kohli
Lungi Ngidi
Liam Livingstone
Swapnil Singh
Krunal Pandya
Phil Salt
Devdutt Padikkal
Josh Hazlewood
Rasikh Salam
Nuwan Thushara
Jitesh Sharma
Rajat Patidar
Swastik Chikara
Yash Dayal
Manoj Bhandage
Mayank Agarwal
Tim Seifert
Blessing Muzarabani
Pat Cummins
Travis Head
Heinrich Klaasen
Ishan Kishan
Sachin Baby
Abhinav Manohar
Atharva Taide
Aniket Verma
Smaran Ravichandran
Heinrich Klaasen
Harshal Patel
Wiaan Mulder
Kamindu Mendis
Abhishek Sharma
Harsh Dubey
Nitish Kumar Reddy
Mohammed Shami
Jaydev Unadkat
Simarjeet Singh
Eshan Malinga
Rahul Chahar
Zeeshan Ansari
Adam Zampa
