Team,Name,Nationality,BattingStyle,BowlingStyle,YearSigned,Notes,
Chennai Super Kings,MS Dhoni,India,Right-handed,Right-arm Medium,2018,Captain (took over April 11, 2025)
Chennai Super Kings,Ravindra Jadeja,India,Left-handed,Left-arm Orthodox,2018,,
Chennai Super Kings,Jamie Overton,England,Right-handed,Right-arm Fast,2025,Overseas,
Chennai Super Kings,Dewald Brevis,South Africa,Right-handed,Right-arm Leg Spin,2025,Overseas; Replacement (for Gurjapneet Singh),
Chennai Super Kings,Noor Ahmad,Afghanistan,Right-handed,Left-arm Wrist-spin,2025,Overseas,
Chennai Super Kings,Rachin Ravindra,New Zealand,Left-handed,Left-arm Orthodox,2024,Overseas,
Chennai Super Kings,Shreyas Gopal,India,Right-handed,Right-arm Leg Spin,2025,,
Chennai Super Kings,Shivam Dube,India,Left-handed,Right-arm Medium,2022,,
Chennai Super Kings,Urvil Patel,India,Right-handed,N/A,2025,Replacement ,
Chennai Super Kings,Andre Siddarth,India,Right-handed,N/A,2025,,
Chennai Super Kings,Mukesh Choudhary,India,Left-handed,Left-arm Fast-medium,2022,,
Chennai Super Kings,Anshul Kamboj,India,Right-handed,Right-arm Fast-medium,2025,,
Chennai Super Kings,Kamlesh Nagarkoti,India,Right-handed,Right-arm Fast,2025,,
Chennai Super Kings,Rahul Tripathi,India,Right-handed,Right-arm Medium,2025,,
Chennai Super Kings,Ayush Mhatre,India,Right-handed,Right-arm Off break,2025,Replacement (for Ruturaj Gaikwad),
Chennai Super Kings,Deepak Hooda,India,Right-handed,Right-arm Off break,2025,,
Chennai Super Kings,Sam Curran,England,Left-handed,Left-arm Fast-medium,2025,Overseas,
Chennai Super Kings,Vijay Shankar,India,Right-handed,Right-arm Medium,2025,,
Chennai Super Kings,Shaik Rasheed,India,Right-handed,Right-arm Leg Spin,2023,,
Chennai Super Kings,Khaleel Ahmed,India,Right-handed,Left-arm Fast-medium,2025,,
Chennai Super Kings,Nathan Ellis,Australia,Right-handed,Right-arm Fast-medium,2025,Overseas,
Chennai Super Kings,Matheesha Pathirana,Sri Lanka,Right-handed,Right-arm Fast,2022,Overseas,
Chennai Super Kings,Devon Conway,New Zealand,Left-handed,Right-arm Medium,2022,Overseas,
Chennai Super Kings,Ravichandran Ashwin,India,Right-handed,Right-arm Off break,2025,,
